px_GeV,py_GeV,pz_GeV,p_mag_GeV,KE_GeV,E_GeV
0.0,0.0,0.2719759983618454,0.2719759983618454,0.1661271190327487,0.3056971190327487
0.0,0.0,0.2812634932326653,0.2812634932326653,0.17441875382000796,0.31398875382000796
0.0,0.0,0.23112818079896322,0.23112818079896322,0.13043003862858657,0.27000003862858657
0.0,0.0,0.21980865308818373,0.21980865308818373,0.12080593758341321,0.2603759375834132
0.0,0.0,0.2351748834520006,0.2351748834520006,0.13390213881246124,0.27347213881246124
0.0,0.0,0.23682350158499724,0.23682350158499724,0.13532117083489456,0.27489117083489456
0.0,0.0,0.23547773776320888,0.23547773776320888,0.1341626248039838,0.2737326248039838
0.0,0.0,0.33234726842842205,0.33234726842842205,0.22089427247625196,0.36046427247625196
0.0,0.0,0.1930423448431195,0.1930423448431195,0.09864236702264192,0.23821236702264192
0.0,0.0,0.22754032781601766,0.22754032781601766,0.12736517131060263,0.2669351713106026
0.0,0.0,0.21825831049736855,0.21825831049736855,0.11949847550631423,0.25906847550631423
0.0,0.0,0.14098920750245647,0.14098920750245647,0.05881785631225195,0.19838785631225195
0.0,0.0,0.08822891194951335,0.08822891194951335,0.025548520474824338,0.16511852047482434
0.0,0.0,0.19701773404319636,0.19701773404319636,0.10187517478615235,0.24144517478615235
0.0,0.0,0.09810435814429394,0.09810435814429394,0.03102967756975361,0.1705996775697536
0.0,0.0,0.48834365145802844,0.48834365145802844,0.3683269450777986,0.5078969450777986
0.0,0.0,0.20513056776683786,0.20513056776683786,0.10853952164789094,0.24810952164789093
0.0,0.0,0.34772970996384883,0.34772970996384883,0.23512419009579325,0.37469419009579324
0.0,0.0,0.1929713576271077,0.1929713576271077,0.09858484409192497,0.23815484409192497
0.0,0.0,0.3191172479321687,0.3191172479321687,0.20873389436209475,0.34830389436209475
0.0,0.0,0.1678029862936857,0.1678029862936857,0.07869045704405292,0.21826045704405292
0.0,0.0,0.227337311995508,0.227337311995508,0.1271921381031104,0.2667621381031104
0.0,0.0,0.3039493316037054,0.3039493316037054,0.19489222668985998,0.33446222668986
0.0,0.0,0.5067539508261696,0.5067539508261696,0.38605282254286866,0.5256228225428686
