delta_pdg,delta_px,delta_py,delta_pz,delta_E,delta_p,Enu,mu_E,wgt
2214,-0.03313415543937867,0.6311802722276678,1.4391199110032682,1.9970920175475462,1.5717991368340065,1.7426624298095703,0.6797114354377183,1.0
2224,0.04333022214995361,0.9081626777022992,0.7682620869043042,1.7130929897403502,1.190320793524809,4.022352695465088,3.254608738260633,1.0
2224,-0.03371362712462352,-0.10845439569286562,0.2749327437862211,1.2674032421470378,0.2974676086649145,0.9707141518592834,0.7118239037175017,1.0
2224,0.14535280559581862,0.16791506193366929,0.844278511616301,1.5099513605728496,0.8730000637432968,0.8262954354286194,0.21170618772029529,1.0
2224,0.09354208829199541,-0.0353616935922442,0.5492123555318554,1.3525748715411612,0.5582425844779207,0.7533496022224426,0.21052688945316622,1.0
2224,0.15465136334295893,-0.15778906519147634,1.1181410393466973,1.6783556885085915,1.1397604209434316,1.0527904033660889,0.2514354678025017,1.0
2224,0.14785973630617974,0.5914194220807558,0.9396651737330626,1.6650627835495138,1.1200937787353589,2.527817726135254,1.6418109695937044,1.0
2224,0.26339482882560417,0.3898639715826216,0.8682990943185827,1.578967406055209,0.9875799053163827,1.3343170881271362,0.6726860878428415,1.0
2214,-0.03893458384852848,-0.22712675589497527,0.8698104756320597,1.5256135580749484,0.8998181641765761,1.225340485572815,0.5001060970767284,1.0
2224,0.23923194374877763,0.04329902854488576,0.34139632643900875,1.3013386110036078,0.41911595112665345,1.2048273086547852,0.8495259519178318,1.0
2224,-0.10111801697736936,0.03437334383254098,1.3993424093466218,1.8674553699405174,1.4034121129303658,1.6822116374969482,0.46748787133308084,1.0
2214,-0.10295571973923756,-0.4525647065847416,0.8129412908944473,1.5472919040421196,0.9361026847062709,1.0996711254119873,0.4806141373978629,1.0
2214,0.34362993234297523,-0.19247152031792292,0.5573104208637327,1.408384081754278,0.6824380717243442,1.1005958318710327,0.7153775540045841,1.0
2224,0.0312674202863738,0.08832238793694773,0.4069885122430221,1.300862077577803,0.4176339843451895,0.45484939217567444,0.13943404218109062,1.0
2224,-0.37131723436915415,0.45593382606631794,1.617892071392411,2.1168729052461925,1.7214316416766178,1.977189064025879,0.7247410106491211,1.0
2224,0.12763402576236588,-0.29457952206174237,0.8305703761959402,1.5201114068267163,0.8904575729166991,1.1504249572753906,0.48921852366171503,1.0
2214,-0.45262458564205177,0.13264286077295911,0.82325265994097,1.555002278500439,0.948792962738213,1.4289085865020752,0.45824573351093584,1.0
2224,0.0703187106099312,0.4719660892699643,0.8653902428181672,1.5793736045811053,0.9882292157427414,1.2380486726760864,0.5113063722512817,1.0
2224,0.34204246998669063,-0.06726558118782407,0.5163731803200426,1.3805734210975407,0.6230240533406132,4.342675685882568,3.8405931382307537,1.0
