Enu,wgt,mu_px,mu_py,mu_pz,mu_E,mu_p,pi_px,pi_py,pi_pz,pi_E,pi_p,cos_open,open_angle_deg
2.4064292907714844,1.0,0.046709657858115,-0.6044046585740441,1.7681780639569449,1.8721924273166362,1.8692085087816603,-0.03910743110681985,0.24368020126310982,0.31497302787320436,0.4237891278018099,0.4001467730008812,0.5452450402373077,56.95858958656518
2.3597679138183594,1.0,0.0763499706391254,0.7148761321951761,0.6645477320355212,0.9847156575136222,0.9790305871383617,0.020401863777005827,-0.3586154195297291,0.640581604866958,0.7475599190459495,0.7344154462318904,0.23767110038704112,76.25087251868356
1.1720788478851318,1.0,-0.1801423493134893,0.15757907809984115,0.21673889794583448,0.3397384543347336,0.3228903556220809,-0.2752282364811012,0.20694332402054438,0.5265729640938618,0.6444648888246468,0.6291702536100736,0.9663605093661497,14.90346899057132
0.8443832397460938,1.0,-0.3281778356646544,-0.08415818144909525,0.125710906761625,0.3764977543162585,0.36136757381534074,-0.017415638301638905,0.07738609925953513,0.3213593864438537,0.35922632555483774,0.33100418135067455,0.3310739048707209,70.66602989708329
0.7556273937225342,1.0,-0.21064700466840164,-0.17764467969237144,0.04294413534580265,0.2982247929991293,0.2788798873339085,-0.0626206635930408,0.10824659705828246,0.004933371616672372,0.187464120137799,0.12515195339681734,-0.166943353487022,99.61014647174225
0.861029326915741,1.0,-0.04307601578460417,0.3355751270199503,0.12192930007108153,0.374829292913661,0.35962892434585275,-0.14854626778003238,0.12336267732850612,0.05060841434829286,0.24356793781588473,0.19961351515336503,0.7517660730844389,41.25640695701602
1.1489522457122803,1.0,0.42457355014458203,0.07898849037605725,0.36223453408872874,0.5734804045307396,0.5636627881816758,0.13067215093793227,0.0030072054715161497,0.158204777371699,0.24817894914501212,0.20521453627538794,0.9771155089298993,12.281176523195468
0.9698677062988281,1.0,0.34244624038500115,0.036957977555220414,0.010918823633882198,0.36044219504428443,0.3446078065980833,-0.176157519721307,-0.12530178765280928,0.23072843951023225,0.3456116425153807,0.3161765686166185,-0.5730347499664774,124.96212038526906
0.9338905215263367,1.0,0.1972049641413531,-0.1495260490851097,0.3300284443248761,0.42582936359590423,0.41251255896092764,-0.03308272512515652,0.041876879417000405,-0.13354630864694358,0.20040594099137224,0.14381500716071802,-0.958438541201147,163.4232733820101
4.141995906829834,1.0,-0.10860468257595617,0.6699703366558929,3.4760852685978203,3.5433018583291793,3.5417261361713184,0.10498242601576335,-0.09766434367737789,-0.05458827055566823,0.20741093987624434,0.1534259204969846,-0.49059792683645853,119.37988914868946
0.8180326223373413,1.0,-0.05705292285617329,-0.013290916330314543,0.2690890776101308,0.29496550942848027,0.27539175033468755,0.14184495143755327,-0.2263720876016464,-0.07389420535089422,0.310329584116451,0.27717262829848377,-0.32710277713642133,109.09301988020692
